episode,score,scoreMax,scoreAvg,memoryLength,epsilon,qAvg,avgLoss
    0, 1.0, 1.0, 1.0,  137,1.000,0.02,0.00
    1, 2.0, 2.0, 1.1,  344,1.000,0.02,0.00
    2, 1.0, 2.0, 1.1,  511,1.000,0.02,0.00
    3, 0.0, 2.0, 1.0,  605,1.000,0.02,0.00
    4, 1.0, 2.0, 1.0,  734,1.000,0.03,0.00
    5, 1.0, 2.0, 1.0,  894,1.000,0.02,0.00
    6, 0.0, 2.0, 0.9,  997,1.000,0.02,0.00
    7, 0.0, 2.0, 0.8, 1107,1.000,0.02,0.00
    8, 1.0, 2.0, 0.8, 1252,1.000,0.02,0.00
    9, 0.0, 2.0, 0.7, 1350,1.000,0.02,0.00
   10, 0.0, 2.0, 0.7, 1469,1.000,0.02,0.00
   11, 1.0, 2.0, 0.7, 1635,1.000,0.02,0.00
   12, 2.0, 2.0, 0.8, 1821,1.000,0.02,0.00
   13, 0.0, 2.0, 0.7, 1917,1.000,0.02,0.00
   14, 2.0, 2.0, 0.9, 2086,1.000,0.02,0.00
   15, 1.0, 2.0, 0.9, 2215,1.000,0.02,0.00
   16, 3.0, 3.0, 1.1, 2420,1.000,0.02,0.00
   17, 2.0, 3.0, 1.2, 2609,1.000,0.02,0.00
   18, 0.0, 3.0, 1.1, 2722,1.000,0.02,0.00
   19, 0.0, 3.0, 1.0, 2817,1.000,0.02,0.00
   20, 2.0, 3.0, 1.1, 3015,1.000,0.02,0.00
   21, 2.0, 3.0, 1.2, 3191,1.000,0.02,0.00
   22, 1.0, 3.0, 1.1, 3337,1.000,0.02,0.00
   23, 2.0, 3.0, 1.2, 3497,1.000,0.02,0.00
   24, 0.0, 3.0, 1.1, 3591,1.000,0.02,0.00
   25, 2.0, 3.0, 1.2, 3779,1.000,0.02,0.00
   26, 2.0, 3.0, 1.3, 3953,1.000,0.02,0.00
   27, 1.0, 3.0, 1.2, 4101,1.000,0.03,0.00
   28, 0.0, 3.0, 1.1, 4206,1.000,0.02,0.00
   29, 2.0, 3.0, 1.2, 4385,1.000,0.02,0.00
   30, 1.0, 3.0, 1.2, 4516,1.000,0.02,0.00
   31, 1.0, 3.0, 1.2, 4680,1.000,0.02,0.00
   32, 2.0, 3.0, 1.3, 4857,1.000,0.02,0.00
   33, 0.0, 3.0, 1.1, 4966,1.000,0.02,0.00
   34, 0.0, 3.0, 1.0, 5060,1.000,0.02,0.00
   35, 0.0, 3.0, 0.9, 5169,1.000,0.02,0.00
   36, 3.0, 3.0, 1.1, 5418,1.000,0.02,0.00
   37, 4.0, 4.0, 1.4, 5668,1.000,0.02,0.00
   38, 1.0, 4.0, 1.4, 5817,1.000,0.02,0.00
   39, 1.0, 4.0, 1.3, 5973,1.000,0.02,0.00
   40, 1.0, 4.0, 1.3, 6109,1.000,0.02,0.00
   41, 0.0, 4.0, 1.2, 6229,1.000,0.03,0.00
   42, 1.0, 4.0, 1.2, 6394,1.000,0.02,0.00
   43, 5.0, 5.0, 1.5, 6733,1.000,0.02,0.00
   44, 1.0, 5.0, 1.5, 6879,1.000,0.02,0.00
   45, 2.0, 5.0, 1.5, 7074,1.000,0.02,0.00
   46, 1.0, 5.0, 1.5, 7220,1.000,0.02,0.00
   47, 1.0, 5.0, 1.4, 7371,1.000,0.02,0.00
   48, 2.0, 5.0, 1.5, 7566,1.000,0.02,0.00
   49, 0.0, 5.0, 1.3, 7675,1.000,0.02,0.00
   50, 0.0, 5.0, 1.2, 7770,1.000,0.02,0.00
   51, 1.0, 5.0, 1.2, 7928,1.000,0.02,0.00
   52, 2.0, 5.0, 1.3, 8120,1.000,0.03,0.00
   53, 0.0, 5.0, 1.1, 8224,1.000,0.02,0.00
   54, 1.0, 5.0, 1.1, 8376,1.000,0.02,0.00
   55, 3.0, 5.0, 1.3, 8615,1.000,0.03,0.00
   56, 0.0, 5.0, 1.2, 8720,1.000,0.02,0.00
   57, 1.0, 5.0, 1.2, 8849,1.000,0.02,0.00
   58, 1.0, 5.0, 1.1, 8981,1.000,0.02,0.00
   59, 1.0, 5.0, 1.1, 9141,1.000,0.02,0.00
   60, 0.0, 5.0, 1.0, 9244,1.000,0.02,0.00
   61, 2.0, 5.0, 1.1, 9400,1.000,0.02,0.00
   62, 2.0, 5.0, 1.2, 9569,1.000,0.02,0.00
   63, 0.0, 5.0, 1.1, 9670,1.000,0.02,0.00
   64, 1.0, 5.0, 1.1, 9814,1.000,0.02,0.00
   65, 2.0, 5.0, 1.2,10010,1.000,0.02,0.00
   66, 0.0, 5.0, 1.1,10116,1.000,0.02,0.00
   67, 2.0, 5.0, 1.1,10304,1.000,0.02,0.00
   68, 0.0, 5.0, 1.0,10417,1.000,0.02,0.00
   69, 0.0, 5.0, 0.9,10539,1.000,0.03,0.00
   70, 1.0, 5.0, 0.9,10699,1.000,0.02,0.00
   71, 1.0, 5.0, 0.9,10840,1.000,0.02,0.00
   72, 1.0, 5.0, 0.9,10962,1.000,0.02,0.00
   73, 0.0, 5.0, 0.9,11062,1.000,0.02,0.00
   74, 0.0, 5.0, 0.8,11159,1.000,0.02,0.00
   75, 1.0, 5.0, 0.8,11303,1.000,0.02,0.00
   76, 4.0, 5.0, 1.1,11574,1.000,0.03,0.00
   77, 1.0, 5.0, 1.1,11719,1.000,0.03,0.00
   78, 2.0, 5.0, 1.2,11889,1.000,0.03,0.00
   79, 1.0, 5.0, 1.2,12031,1.000,0.02,0.00
   80, 0.0, 5.0, 1.1,12134,1.000,0.03,0.00
   81, 0.0, 5.0, 0.9,12236,1.000,0.02,0.00
   82, 2.0, 5.0, 1.1,12417,1.000,0.02,0.00
   83, 2.0, 5.0, 1.1,12592,1.000,0.02,0.00
   84, 3.0, 5.0, 1.3,12829,1.000,0.02,0.00
   85, 0.0, 5.0, 1.2,12944,1.000,0.02,0.00
   86, 0.0, 5.0, 1.1,13060,1.000,0.02,0.00
   87, 0.0, 5.0, 1.0,13176,1.000,0.02,0.00
   88, 1.0, 5.0, 1.0,13332,1.000,0.02,0.00
   89, 2.0, 5.0, 1.1,13500,1.000,0.02,0.00
   90, 2.0, 5.0, 1.2,13692,1.000,0.02,0.00
   91, 1.0, 5.0, 1.2,13831,1.000,0.02,0.00
   92, 2.0, 5.0, 1.2,14035,1.000,0.02,0.00
   93, 0.0, 5.0, 1.1,14141,1.000,0.02,0.00
   94, 2.0, 5.0, 1.2,14359,1.000,0.02,0.00
   95, 2.0, 5.0, 1.3,14540,1.000,0.02,0.00
   96, 1.0, 5.0, 1.3,14682,1.000,0.02,0.00
   97, 0.0, 5.0, 1.1,14784,1.000,0.03,0.00
   98, 2.0, 5.0, 1.2,14985,1.000,0.02,0.00
   99, 0.0, 5.0, 1.1,15104,1.000,0.03,0.00
  100, 3.0, 5.0, 1.3,15337,1.000,0.02,0.00
  101, 0.0, 5.0, 1.2,15450,1.000,0.02,0.00
  102, 1.0, 5.0, 1.1,15614,1.000,0.02,0.00
  103, 3.0, 5.0, 1.3,15833,1.000,0.02,0.00
  104, 2.0, 5.0, 1.4,16046,1.000,0.02,0.00
  105, 0.0, 5.0, 1.3,16157,1.000,0.02,0.00
  106, 2.0, 5.0, 1.3,16319,1.000,0.02,0.00
  107, 1.0, 5.0, 1.3,16483,1.000,0.02,0.00
  108, 2.0, 5.0, 1.4,16680,1.000,0.02,0.00
  109, 1.0, 5.0, 1.3,16838,1.000,0.02,0.00
  110, 1.0, 5.0, 1.3,17009,1.000,0.02,0.00
  111, 1.0, 5.0, 1.3,17140,1.000,0.03,0.00
  112, 0.0, 5.0, 1.1,17242,1.000,0.02,0.00
  113, 0.0, 5.0, 1.0,17347,1.000,0.02,0.00
  114, 3.0, 5.0, 1.2,17575,1.000,0.02,0.00
  115, 2.0, 5.0, 1.3,17772,1.000,0.02,0.00
  116, 0.0, 5.0, 1.2,17889,1.000,0.02,0.00
  117, 2.0, 5.0, 1.3,18098,1.000,0.03,0.00
  118, 2.0, 5.0, 1.3,18296,1.000,0.03,0.00
  119, 1.0, 5.0, 1.3,18446,1.000,0.02,0.00
  120, 1.0, 5.0, 1.3,18579,1.000,0.02,0.00
  121, 2.0, 5.0, 1.3,18775,1.000,0.02,0.00
  122, 0.0, 5.0, 1.2,18891,1.000,0.02,0.00
  123, 0.0, 5.0, 1.1,19007,1.000,0.02,0.00
  124, 1.0, 5.0, 1.1,19145,1.000,0.02,0.00
  125, 3.0, 5.0, 1.3,19370,1.000,0.02,0.00
  126, 0.0, 5.0, 1.1,19471,1.000,0.02,0.00
  127, 0.0, 5.0, 1.0,19592,1.000,0.02,0.00
  128, 1.0, 5.0, 1.0,19758,1.000,0.02,0.00
  129, 1.0, 5.0, 1.0,19898,1.000,0.02,0.00
  130, 3.0, 5.0, 1.2,20101,1.000,0.02,0.00
  131, 1.0, 5.0, 1.2,20245,1.000,0.02,0.00
  132, 1.0, 5.0, 1.2,20407,1.000,0.02,0.00
  133, 2.0, 5.0, 1.3,20587,1.000,0.02,0.00
  134, 1.0, 5.0, 1.2,20755,1.000,0.02,0.00
  135, 1.0, 5.0, 1.2,20928,1.000,0.02,0.00
  136, 2.0, 5.0, 1.3,21142,1.000,0.02,0.00
  137, 0.0, 5.0, 1.2,21251,1.000,0.02,0.00
  138, 0.0, 5.0, 1.0,21359,1.000,0.02,0.00
