episode,score,scoreMax,scoreAvg,memoryLength,epsilon,qAvg,avgLoss
    0, 0.0, 0.0, 0.0,  108,1.000,0.02,0.00
    1, 1.0, 1.0, 1.0,  276,1.000,0.02,0.00
    2, 1.0, 1.0, 1.0,  443,1.000,0.02,0.00
    3, 1.0, 1.0, 1.0,  599,1.000,0.02,0.00
    4, 0.0, 1.0, 0.9,  698,1.000,0.02,0.00
    5, 2.0, 2.0, 1.0,  878,1.000,0.02,0.00
    6, 1.0, 2.0, 1.0, 1013,1.000,0.02,0.00
    7, 0.0, 2.0, 0.9, 1135,1.000,0.02,0.00
    8, 0.0, 2.0, 0.8, 1231,1.000,0.02,0.00
    9, 0.0, 2.0, 0.7, 1337,1.000,0.02,0.00
   10, 3.0, 3.0, 1.0, 1545,1.000,0.02,0.00
   11, 0.0, 3.0, 0.9, 1665,1.000,0.02,0.00
   12, 1.0, 3.0, 0.9, 1790,1.000,0.02,0.00
   13, 2.0, 3.0, 1.0, 1997,1.000,0.02,0.00
   14, 1.0, 3.0, 1.0, 2145,1.000,0.02,0.00
   15, 1.0, 3.0, 1.0, 2304,1.000,0.02,0.00
   16, 1.0, 3.0, 1.0, 2456,1.000,0.02,0.00
   17, 0.0, 3.0, 0.9, 2558,1.000,0.02,0.00
   18, 1.0, 3.0, 0.9, 2699,1.000,0.02,0.00
   19, 1.0, 3.0, 0.9, 2828,1.000,0.02,0.00
   20, 1.0, 3.0, 0.9, 2963,1.000,0.02,0.00
   21, 0.0, 3.0, 0.8, 3065,1.000,0.02,0.00
   22, 0.0, 3.0, 0.7, 3170,1.000,0.02,0.00
   23, 1.0, 3.0, 0.8, 3316,1.000,0.02,0.00
   24, 0.0, 3.0, 0.7, 3438,1.000,0.02,0.00
   25, 0.0, 3.0, 0.6, 3546,1.000,0.02,0.00
   26, 1.0, 3.0, 0.7, 3709,1.000,0.02,0.00
   27, 0.0, 3.0, 0.6, 3824,1.000,0.02,0.00
   28, 2.0, 3.0, 0.7, 4030,1.000,0.02,0.00
   29, 0.0, 3.0, 0.7, 4152,1.000,0.02,0.00
   30, 1.0, 3.0, 0.7, 4296,1.000,0.02,0.00
   31, 0.0, 3.0, 0.6, 4395,1.000,0.02,0.00
   32, 2.0, 3.0, 0.8, 4564,1.000,0.02,0.00
   33, 1.0, 3.0, 0.8, 4713,1.000,0.02,0.00
   34, 2.0, 3.0, 0.9, 4885,1.000,0.02,0.00
   35, 0.0, 3.0, 0.8, 4996,1.000,0.02,0.00
   36, 1.0, 3.0, 0.8, 5134,1.000,0.02,0.00
   37, 3.0, 3.0, 1.1, 5390,1.000,0.02,0.00
   38, 2.0, 3.0, 1.1, 5565,1.000,0.02,0.00
   39, 0.0, 3.0, 1.0, 5662,1.000,0.02,0.00
   40, 0.0, 3.0, 0.9, 5760,1.000,0.02,0.00
   41, 1.0, 3.0, 0.9, 5922,1.000,0.02,0.00
   42, 0.0, 3.0, 0.8, 6019,1.000,0.02,0.00
   43, 1.0, 3.0, 0.9, 6146,1.000,0.02,0.00
   44, 0.0, 3.0, 0.8, 6252,1.000,0.02,0.00
   45, 2.0, 3.0, 0.9, 6445,1.000,0.02,0.00
   46, 0.0, 3.0, 0.8, 6540,1.000,0.02,0.00
   47, 1.0, 3.0, 0.8, 6694,1.000,0.02,0.00
   48, 1.0, 3.0, 0.8, 6826,1.000,0.02,0.00
   49, 0.0, 3.0, 0.8, 6929,1.000,0.02,0.00
   50, 2.0, 3.0, 0.9, 7106,1.000,0.02,0.00
   51, 5.0, 5.0, 1.3, 7443,1.000,0.02,0.00
   52, 0.0, 5.0, 1.2, 7547,1.000,0.02,0.00
   53, 0.0, 5.0, 1.0, 7648,1.000,0.02,0.00
   54, 1.0, 5.0, 1.0, 7802,1.000,0.02,0.00
   55, 2.0, 5.0, 1.1, 7967,1.000,0.02,0.00
   56, 1.0, 5.0, 1.1, 8118,1.000,0.02,0.00
   57, 0.0, 5.0, 1.0, 8219,1.000,0.02,0.00
   58, 0.0, 5.0, 0.9, 8342,1.000,0.02,0.00
   59, 1.0, 5.0, 0.9, 8505,1.000,0.02,0.00
   60, 3.0, 5.0, 1.1, 8729,1.000,0.02,0.00
   61, 2.0, 5.0, 1.2, 8923,1.000,0.02,0.00
   62, 2.0, 5.0, 1.3, 9098,1.000,0.02,0.00
   63, 0.0, 5.0, 1.2, 9216,1.000,0.02,0.00
   64, 1.0, 5.0, 1.1, 9367,1.000,0.02,0.00
   65, 0.0, 5.0, 1.0, 9466,1.000,0.02,0.00
   66, 3.0, 5.0, 1.2, 9668,1.000,0.02,0.00
   67, 0.0, 5.0, 1.1, 9775,1.000,0.02,0.00
   68, 1.0, 5.0, 1.1, 9900,1.000,0.02,0.00
   69, 1.0, 5.0, 1.1,10036,1.000,0.02,0.00
   70, 2.0, 5.0, 1.2,10197,1.000,0.02,0.00
   71, 0.0, 5.0, 1.1,10308,1.000,0.02,0.00
   72, 2.0, 5.0, 1.2,10483,1.000,0.02,0.00
   73, 2.0, 5.0, 1.2,10670,1.000,0.02,0.00
   74, 1.0, 5.0, 1.2,10814,1.000,0.02,0.00
   75, 0.0, 5.0, 1.1,10931,1.000,0.02,0.00
   76, 1.0, 5.0, 1.1,11073,1.000,0.02,0.00
   77, 1.0, 5.0, 1.1,11214,1.000,0.02,0.00
   78, 0.0, 5.0, 1.0,11328,1.000,0.02,0.00
   79, 0.0, 5.0, 0.9,11443,1.000,0.02,0.00
   80, 0.0, 5.0, 0.8,11549,1.000,0.02,0.00
   81, 1.0, 5.0, 0.8,11691,1.000,0.02,0.00
   82, 0.0, 5.0, 0.7,11806,1.000,0.02,0.00
   83, 2.0, 5.0, 0.9,11980,1.000,0.02,0.00
   84, 0.0, 5.0, 0.8,12096,1.000,0.02,0.00
   85, 1.0, 5.0, 0.8,12246,1.000,0.02,0.00
   86, 2.0, 5.0, 0.9,12401,1.000,0.02,0.00
   87, 0.0, 5.0, 0.8,12518,1.000,0.02,0.00
   88, 0.0, 5.0, 0.7,12617,1.000,0.02,0.00
   89, 1.0, 5.0, 0.8,12741,1.000,0.02,0.00
   90, 2.0, 5.0, 0.9,12939,1.000,0.02,0.00
   91, 1.0, 5.0, 0.9,13081,1.000,0.02,0.00
   92, 1.0, 5.0, 0.9,13215,1.000,0.02,0.00
   93, 0.0, 5.0, 0.8,13314,1.000,0.02,0.00
   94, 1.0, 5.0, 0.8,13463,1.000,0.02,0.00
   95, 1.0, 5.0, 0.9,13594,1.000,0.02,0.00
   96, 3.0, 5.0, 1.1,13821,1.000,0.02,0.00
   97, 3.0, 5.0, 1.3,14053,1.000,0.02,0.00
   98, 1.0, 5.0, 1.2,14178,1.000,0.02,0.00
   99, 0.0, 5.0, 1.1,14288,1.000,0.02,0.00
  100, 1.0, 5.0, 1.1,14414,1.000,0.02,0.00
  101, 1.0, 5.0, 1.1,14555,1.000,0.02,0.00
  102, 0.0, 5.0, 1.0,14672,1.000,0.02,0.00
  103, 0.0, 5.0, 0.9,14765,1.000,0.02,0.00
  104, 1.0, 5.0, 0.9,14910,1.000,0.02,0.00
  105, 1.0, 5.0, 0.9,15031,1.000,0.02,0.00
  106, 1.0, 5.0, 0.9,15186,1.000,0.02,0.00
  107, 1.0, 5.0, 0.9,15328,1.000,0.02,0.00
  108, 0.0, 5.0, 0.8,15432,1.000,0.02,0.00
  109, 2.0, 5.0, 0.9,15624,1.000,0.02,0.00
  110, 2.0, 5.0, 1.1,15805,1.000,0.02,0.00
  111, 0.0, 5.0, 0.9,15927,1.000,0.02,0.00
  112, 1.0, 5.0, 1.0,16063,1.000,0.02,0.00
  113, 1.0, 5.0, 1.0,16222,1.000,0.02,0.00
  114, 1.0, 5.0, 1.0,16364,1.000,0.02,0.00
  115, 3.0, 5.0, 1.2,16607,1.000,0.02,0.00
  116, 2.0, 5.0, 1.2,16784,1.000,0.02,0.00
  117, 2.0, 5.0, 1.3,16959,1.000,0.02,0.00
  118, 0.0, 5.0, 1.2,17074,1.000,0.02,0.00
  119, 3.0, 5.0, 1.4,17292,1.000,0.02,0.00
  120, 0.0, 5.0, 1.2,17413,1.000,0.02,0.00
  121, 0.0, 5.0, 1.1,17530,1.000,0.02,0.00
  122, 1.0, 5.0, 1.1,17697,1.000,0.02,0.00
  123, 2.0, 5.0, 1.2,17856,1.000,0.02,0.00
  124, 0.0, 5.0, 1.1,17960,1.000,0.02,0.00
  125, 0.0, 5.0, 1.0,18066,1.000,0.02,0.00
  126, 0.0, 5.0, 0.9,18180,1.000,0.02,0.00
  127, 1.0, 5.0, 0.9,18337,1.000,0.02,0.00
  128, 0.0, 5.0, 0.8,18440,1.000,0.02,0.00
  129, 2.0, 5.0, 0.9,18635,1.000,0.02,0.00
  130, 0.0, 5.0, 0.8,18739,1.000,0.02,0.00
  131, 2.0, 5.0, 0.9,18934,1.000,0.02,0.00
  132, 1.0, 5.0, 0.9,19090,1.000,0.02,0.00
  133, 1.0, 5.0, 1.0,19239,1.000,0.02,0.00
  134, 2.0, 5.0, 1.1,19417,1.000,0.02,0.00
  135, 0.0, 5.0, 1.0,19517,1.000,0.02,0.00
  136, 1.0, 5.0, 1.0,19660,1.000,0.02,0.00
  137, 1.0, 5.0, 1.0,19812,1.000,0.02,0.00
  138, 2.0, 5.0, 1.1,19980,1.000,0.02,0.00
