episode,score,scoreMax,scoreAvg,memoryLength,epsilon,qAvg,avgLoss
    0, 2.0, 2.0, 2.0,  467,1.000,0.06,0.00
    1, 2.0, 2.0, 2.0,  915,1.000,0.06,0.00
    2, 0.0, 2.0, 1.8, 1151,1.000,0.06,0.00
    3, 1.0, 2.0, 1.7, 1533,1.000,0.06,0.00
    4, 0.0, 2.0, 1.5, 1788,1.000,0.06,0.00
    5, 0.0, 2.0, 1.4, 2036,1.000,0.06,0.00
    6, 0.0, 2.0, 1.3, 2299,1.000,0.06,0.00
    7, 0.0, 2.0, 1.1, 2560,1.000,0.06,0.00
    8, 0.0, 2.0, 1.0, 2788,1.000,0.06,0.00
    9, 0.0, 2.0, 0.9, 3011,1.000,0.06,0.00
   10, 3.0, 3.0, 1.1, 3526,1.000,0.06,0.00
   11, 1.0, 3.0, 1.1, 3827,1.000,0.06,0.00
   12, 1.0, 3.0, 1.1, 4181,1.000,0.06,0.00
   13, 1.0, 3.0, 1.1, 4526,1.000,0.06,0.00
   14, 1.0, 3.0, 1.1, 4831,1.000,0.06,0.00
   15, 0.0, 3.0, 1.0, 5076,1.000,0.06,0.00
   16, 1.0, 3.0, 1.0, 5419,1.000,0.06,0.00
   17, 1.0, 3.0, 1.0, 5796,1.000,0.06,0.00
   18, 2.0, 3.0, 1.1, 6245,1.000,0.06,0.00
   19, 1.0, 3.0, 1.1, 6572,1.000,0.06,0.00
   20, 1.0, 3.0, 1.1, 6913,1.000,0.06,0.00
   21, 0.0, 3.0, 1.0, 7138,1.000,0.06,0.00
   22, 1.0, 3.0, 1.0, 7492,1.000,0.06,0.00
   23, 0.0, 3.0, 0.9, 7737,1.000,0.06,0.00
   24, 1.0, 3.0, 0.9, 8108,1.000,0.06,0.00
   25, 1.0, 3.0, 0.9, 8415,1.000,0.06,0.00
   26, 0.0, 3.0, 0.8, 8674,1.000,0.06,0.00
   27, 2.0, 3.0, 0.9, 9067,1.000,0.06,0.00
   28, 2.0, 3.0, 1.0, 9519,1.000,0.06,0.00
   29, 1.0, 3.0, 1.0, 9837,1.000,0.06,0.00
   30, 1.0, 3.0, 1.0,10224,1.000,0.06,0.00
   31, 0.0, 3.0, 0.9,10443,1.000,0.06,0.00
   32, 2.0, 3.0, 1.0,10905,1.000,0.06,0.00
   33, 2.0, 3.0, 1.1,11350,1.000,0.06,0.00
   34, 3.0, 3.0, 1.3,11906,1.000,0.06,0.00
   35, 1.0, 3.0, 1.3,12232,1.000,0.06,0.00
   36, 0.0, 3.0, 1.2,12499,1.000,0.06,0.00
   37, 0.0, 3.0, 1.0,12780,1.000,0.06,0.00
   38, 2.0, 3.0, 1.1,13210,1.000,0.06,0.00
   39, 1.0, 3.0, 1.1,13549,1.000,0.06,0.00
   40, 0.0, 3.0, 1.0,13771,1.000,0.06,0.00
   41, 4.0, 4.0, 1.3,14367,1.000,0.06,0.00
   42, 2.0, 4.0, 1.4,14782,1.000,0.06,0.00
   43, 1.0, 4.0, 1.3,15162,1.000,0.06,0.00
   44, 2.0, 4.0, 1.4,15646,1.000,0.06,0.00
   45, 4.0, 4.0, 1.7,16244,1.000,0.06,0.00
   46, 0.0, 4.0, 1.5,16510,1.000,0.06,0.00
   47, 2.0, 4.0, 1.5,16944,1.000,0.06,0.00
   48, 1.0, 4.0, 1.5,17233,1.000,0.06,0.00
   49, 2.0, 4.0, 1.5,17641,1.000,0.06,0.00
   50, 0.0, 4.0, 1.4,17879,1.000,0.06,0.00
   51, 0.0, 4.0, 1.3,18104,1.000,0.06,0.00
   52, 0.0, 4.0, 1.1,18319,1.000,0.06,0.00
   53, 3.0, 4.0, 1.3,18790,1.000,0.06,0.00
   54, 0.0, 4.0, 1.2,19006,1.000,0.06,0.00
   55, 2.0, 4.0, 1.3,19408,1.000,0.06,0.00
   56, 0.0, 4.0, 1.1,19642,1.000,0.06,0.00
   57, 2.0, 4.0, 1.2,20004,1.000,0.06,0.00
   58, 1.0, 4.0, 1.2,20347,1.000,0.06,0.00
   59, 0.0, 4.0, 1.1,20615,1.000,0.06,0.00
   60, 0.0, 4.0, 1.0,20894,1.000,0.06,0.00
   61, 2.0, 4.0, 1.1,21310,1.000,0.06,0.00
   62, 0.0, 4.0, 1.0,21527,1.000,0.06,0.00
   63, 0.0, 4.0, 0.9,21786,1.000,0.06,0.00
   64, 4.0, 4.0, 1.2,22362,1.000,0.06,0.00
   65, 5.0, 5.0, 1.6,23078,1.000,0.07,0.00
   66, 0.0, 5.0, 1.4,23299,1.000,0.06,0.00
   67, 2.0, 5.0, 1.5,23689,1.000,0.06,0.00
   68, 1.0, 5.0, 1.4,24024,1.000,0.06,0.00
   69, 0.0, 5.0, 1.3,24259,1.000,0.06,0.00
   70, 1.0, 5.0, 1.3,24570,1.000,0.06,0.00
   71, 0.0, 5.0, 1.1,24782,1.000,0.06,0.00
   72, 6.0, 6.0, 1.6,25318,1.000,0.06,0.00
   73, 0.0, 6.0, 1.5,25573,1.000,0.06,0.00
   74, 0.0, 6.0, 1.3,25808,1.000,0.06,0.00
   75, 3.0, 6.0, 1.5,26358,1.000,0.06,0.00
