episode,score,scoreMax,scoreAvg,memoryLength,epsilon,qAvg,avgLoss
    0, 0.0, 0.0, 0.0,  470,1.000,0.01,0.00
    1, 0.0, 0.0, 0.0,  731,1.000,0.01,0.00
    2, 0.0, 0.0, 0.0,  973,1.000,0.01,0.00
    3, 2.0, 2.0, 2.0, 1787,1.000,0.01,0.00
    4, 1.0, 2.0, 1.9, 2136,1.000,0.01,0.00
    5, 0.0, 2.0, 1.7, 2382,1.000,0.01,0.00
    6, 2.0, 2.0, 1.7, 2775,1.000,0.01,0.00
    7, 0.0, 2.0, 1.6, 3023,1.000,0.01,0.00
    8, 1.0, 2.0, 1.5, 3393,1.000,0.01,0.00
    9, 2.0, 2.0, 1.6, 3794,1.000,0.01,0.00
   10, 0.0, 2.0, 1.4, 4018,1.000,0.01,0.00
   11, 0.0, 2.0, 1.3, 4269,1.000,0.01,0.00
   12, 1.0, 2.0, 1.2, 4590,1.000,0.01,0.00
   13, 0.0, 2.0, 1.1, 4871,1.000,0.01,0.00
   14, 0.0, 2.0, 1.0, 5096,1.000,0.01,0.00
   15, 1.0, 2.0, 1.0, 5447,1.000,0.01,0.00
   16, 0.0, 2.0, 0.9, 5693,1.000,0.01,0.00
   17, 3.0, 3.0, 1.1, 6182,1.000,0.01,0.00
   18, 2.0, 3.0, 1.2, 6621,1.000,0.01,0.00
   19, 0.0, 3.0, 1.1, 6840,1.000,0.01,0.00
   20, 0.0, 3.0, 1.0, 7088,1.000,0.01,0.00
   21, 2.0, 3.0, 1.1, 7501,1.000,0.01,0.00
   22, 0.0, 3.0, 1.0, 7737,1.000,0.01,0.00
   23, 1.0, 3.0, 1.0, 8061,1.000,0.01,0.00
   24, 1.0, 3.0, 1.0, 8420,1.000,0.01,0.00
   25, 3.0, 3.0, 1.2, 8947,1.000,0.01,0.00
   26, 2.0, 3.0, 1.3, 9365,1.000,0.01,0.00
   27, 1.0, 3.0, 1.2, 9737,1.000,0.01,0.00
   28, 1.0, 3.0, 1.2,10071,1.000,0.01,0.00
   29, 0.0, 3.0, 1.1,10332,1.000,0.01,0.00
   30, 1.0, 3.0, 1.1,10615,1.000,0.01,0.00
   31, 1.0, 3.0, 1.1,10939,1.000,0.01,0.00
   32, 3.0, 3.0, 1.3,11470,1.000,0.01,0.00
   33, 0.0, 3.0, 1.1,11715,1.000,0.01,0.00
   34, 2.0, 3.0, 1.2,12121,1.000,0.01,0.00
   35, 0.0, 3.0, 1.1,12391,1.000,0.01,0.00
   36, 0.0, 3.0, 1.0,12642,1.000,0.01,0.00
   37, 0.0, 3.0, 0.9,12874,1.000,0.01,0.00
   38, 0.0, 3.0, 0.8,13093,1.000,0.01,0.00
   39, 3.0, 3.0, 1.0,13550,1.000,0.01,0.00
   40, 2.0, 3.0, 1.1,13996,1.000,0.01,0.00
   41, 1.0, 3.0, 1.1,14302,1.000,0.01,0.00
   42, 1.0, 3.0, 1.1,14629,1.000,0.01,0.00
   43, 0.0, 3.0, 1.0,14882,1.000,0.01,0.00
   44, 1.0, 3.0, 1.0,15205,1.000,0.01,0.00
   45, 0.0, 3.0, 0.9,15460,1.000,0.01,0.00
   46, 1.0, 3.0, 0.9,15781,1.000,0.01,0.00
   47, 2.0, 3.0, 1.0,16138,1.000,0.01,0.00
   48, 1.0, 3.0, 1.0,16477,1.000,0.01,0.00
   49, 1.0, 3.0, 1.0,16780,1.000,0.01,0.00
   50, 2.0, 3.0, 1.1,17183,1.000,0.01,0.00
   51, 2.0, 3.0, 1.2,17611,1.000,0.01,0.00
   52, 0.0, 3.0, 1.1,17867,1.000,0.01,0.00
   53, 0.0, 3.0, 1.0,18091,1.000,0.01,0.00
   54, 2.0, 3.0, 1.1,18456,1.000,0.01,0.00
   55, 1.0, 3.0, 1.1,18792,1.000,0.01,0.00
   56, 1.0, 3.0, 1.1,19164,1.000,0.01,0.00
   57, 0.0, 3.0, 1.0,19404,1.000,0.01,0.00
   58, 0.0, 3.0, 0.9,19638,1.000,0.01,0.00
   59, 0.0, 3.0, 0.8,19862,1.000,0.01,0.00
   60, 0.0, 3.0, 0.7,20099,1.000,0.01,0.00
   61, 1.0, 3.0, 0.7,20445,1.000,0.01,0.00
   62, 1.0, 3.0, 0.8,20812,1.000,0.01,0.00
   63, 3.0, 3.0, 1.0,21371,1.000,0.01,0.00
   64, 1.0, 3.0, 1.0,21706,1.000,0.01,0.00
   65, 2.0, 3.0, 1.1,22126,1.000,0.01,0.00
   66, 1.0, 3.0, 1.1,22478,1.000,0.01,0.00
   67, 1.0, 3.0, 1.1,22852,1.000,0.01,0.00
   68, 2.0, 3.0, 1.2,23303,1.000,0.01,0.00
   69, 1.0, 3.0, 1.1,23642,1.000,0.01,0.00
   70, 1.0, 3.0, 1.1,24021,1.000,0.01,0.00
   71, 1.0, 3.0, 1.1,24394,1.000,0.01,0.00
   72, 1.0, 3.0, 1.1,24753,1.000,0.01,0.00
   73, 1.0, 3.0, 1.1,25047,1.000,0.01,0.00
   74, 1.0, 3.0, 1.1,25374,1.000,0.01,0.00
   75, 4.0, 4.0, 1.4,25945,1.000,0.01,0.00
   76, 1.0, 4.0, 1.3,26272,1.000,0.01,0.00
   77, 3.0, 4.0, 1.5,26745,1.000,0.01,0.00
   78, 0.0, 4.0, 1.4,26983,1.000,0.01,0.00
   79, 0.0, 4.0, 1.2,27250,1.000,0.01,0.00
   80, 0.0, 4.0, 1.1,27507,1.000,0.01,0.00
   81, 0.0, 4.0, 1.0,27757,1.000,0.01,0.00
   82, 2.0, 4.0, 1.1,28170,1.000,0.01,0.00
   83, 0.0, 4.0, 1.0,28421,1.000,0.01,0.00
   84, 2.0, 4.0, 1.1,28838,1.000,0.01,0.00
   85, 2.0, 4.0, 1.2,29255,1.000,0.01,0.00
   86, 0.0, 4.0, 1.1,29528,1.000,0.01,0.00
   87, 0.0, 4.0, 1.0,29810,1.000,0.01,0.00
   88, 1.0, 4.0, 1.0,30126,1.000,0.01,0.00
   89, 0.0, 4.0, 0.9,30382,1.000,0.01,0.00
   90, 0.0, 4.0, 0.8,30611,1.000,0.01,0.00
   91, 0.0, 4.0, 0.7,30850,1.000,0.01,0.00
   92, 0.0, 4.0, 0.6,31118,1.000,0.01,0.00
   93, 1.0, 4.0, 0.7,31421,1.000,0.01,0.00
   94, 0.0, 4.0, 0.6,31690,1.000,0.01,0.00
   95, 3.0, 4.0, 0.8,32149,1.000,0.01,0.00
   96, 2.0, 4.0, 1.0,32567,1.000,0.01,0.00
   97, 2.0, 4.0, 1.1,33008,1.000,0.01,0.00
   98, 0.0, 4.0, 1.0,33218,1.000,0.01,0.00
   99, 3.0, 4.0, 1.2,33748,1.000,0.01,0.00
  100, 0.0, 4.0, 1.0,34010,1.000,0.01,0.00
  101, 5.0, 5.0, 1.4,34696,1.000,0.01,0.00
  102, 2.0, 5.0, 1.5,35136,1.000,0.01,0.00
  103, 1.0, 5.0, 1.4,35459,1.000,0.01,0.00
  104, 0.0, 5.0, 1.3,35687,1.000,0.01,0.00
  105, 1.0, 5.0, 1.3,35956,1.000,0.01,0.00
  106, 3.0, 5.0, 1.4,36476,1.000,0.01,0.00
  107, 1.0, 5.0, 1.4,36777,1.000,0.01,0.00
  108, 0.0, 5.0, 1.3,37047,1.000,0.01,0.00
  109, 2.0, 5.0, 1.3,37457,1.000,0.01,0.00
  110, 0.0, 5.0, 1.2,37678,1.000,0.01,0.00
  111, 2.0, 5.0, 1.3,38088,1.000,0.01,0.00
  112, 0.0, 5.0, 1.2,38329,1.000,0.01,0.00
  113, 0.0, 5.0, 1.0,38546,1.000,0.01,0.00
  114, 1.0, 5.0, 1.0,38878,1.000,0.01,0.00
  115, 1.0, 5.0, 1.0,39248,1.000,0.01,0.00
  116, 1.0, 5.0, 1.0,39621,1.000,0.01,0.00
  117, 0.0, 5.0, 0.9,39906,1.000,0.01,0.00
  118, 0.0, 5.0, 0.8,40163,1.000,0.01,0.00
  119, 0.0, 5.0, 0.7,40379,1.000,0.01,0.00
  120, 0.0, 5.0, 0.7,40638,1.000,0.01,0.00
  121, 3.0, 5.0, 0.9,41166,1.000,0.01,0.00
  122, 1.0, 5.0, 0.9,41505,1.000,0.01,0.00
  123, 1.0, 5.0, 0.9,41844,1.000,0.01,0.00
  124, 2.0, 5.0, 1.0,42265,1.000,0.01,0.00
  125, 0.0, 5.0, 0.9,42492,1.000,0.01,0.00
  126, 1.0, 5.0, 0.9,42805,1.000,0.01,0.00
  127, 1.0, 5.0, 0.9,43183,1.000,0.01,0.00
  128, 1.0, 5.0, 0.9,43503,1.000,0.01,0.00
